,Knowledge,Premise,Hypothesis
704,World knowledge,"He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Cologne.","He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Italy."
705,World knowledge,"He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Italy.","He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Cologne."
734,World knowledge,"By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of the civil rights leader's assassin.","By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of Dr. Martin Luther King, Jr.'s assassin."
735,World knowledge,"By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of Dr. Martin Luther King, Jr.'s assassin.","By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of the civil rights leader's assassin."
736,World knowledge,"By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of the civil rights leader's assassin.","By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of Kennedy's assassin."
737,World knowledge,"By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of Kennedy's assassin.","By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of the civil rights leader's assassin."
738,World knowledge,"By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of the civil rights leader's assassin.","By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of Malcolm X's assassin."
739,World knowledge,"By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of Malcolm X's assassin.","By saying this, Kennedy was admonishing people not to riot in wake of King's death and in effect equating their actions to that of the civil rights leader's assassin."
754,World knowledge,"Ferrero SpA, the maker of Nutella and Ferrero Rocher, uses 25% of the global supply of hazelnuts.",Makers of chocolate confectioneries use at least 25% of the global supply of hazelnuts.
755,World knowledge,Makers of chocolate confectioneries use at least 25% of the global supply of hazelnuts.,"Ferrero SpA, the maker of Nutella and Ferrero Rocher, uses 25% of the global supply of hazelnuts."
756,World knowledge,"Ferrero SpA, the maker of Nutella and Ferrero Rocher, uses 25% of the global supply of hazelnuts.",Makers of nuts use at least 25% of the global supply of hazelnuts.
757,World knowledge,Makers of nuts use at least 25% of the global supply of hazelnuts.,"Ferrero SpA, the maker of Nutella and Ferrero Rocher, uses 25% of the global supply of hazelnuts."
788,World knowledge,"Albertosaurus and other tyrannosaurids were heterodont, with teeth of different forms depending on their position in the mouth.",Albertosaurus and other tyrannosaurids were heterodont.
789,World knowledge,Albertosaurus and other tyrannosaurids were heterodont.,"Albertosaurus and other tyrannosaurids were heterodont, with teeth of different forms depending on their position in the mouth."
790,World knowledge,"Albertosaurus and other tyrannosaurids were heterodont, with teeth of different forms depending on their position in the mouth.","Albertosaurus and other tyrannosaurids were heterodont, with lots of teeth."
791,World knowledge,"Albertosaurus and other tyrannosaurids were heterodont, with lots of teeth.","Albertosaurus and other tyrannosaurids were heterodont, with teeth of different forms depending on their position in the mouth."
816,World knowledge,"The pharaohs of the Middle Kingdom restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects.","The pharaohs of the Middle Kingdom of Egypt restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects."
817,World knowledge,"The pharaohs of the Middle Kingdom of Egypt restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects.","The pharaohs of the Middle Kingdom restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects."
818,World knowledge,"The pharaohs of the Middle Kingdom restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects.","The pharaohs of the Middle Kingdom of China restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects."
819,World knowledge,"The pharaohs of the Middle Kingdom of China restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects.","The pharaohs of the Middle Kingdom restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects."
820,World knowledge,"The pharaohs of the Middle Kingdom restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects.","The pharaohs of Egypt restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects."
821,World knowledge,"The pharaohs of Egypt restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects.","The pharaohs of the Middle Kingdom restored the country's stability and prosperity, thereby stimulating a resurgence of art, literature, and monumental building projects."
832,World knowledge,"In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment.","In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment."
833,World knowledge,"In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment.","In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment."
896,World knowledge,"To generate complex questions we use the dataset WEBQUESTIONSSP, which contains 4,737 questions paired with SPARQL queries for Freebase.","To generate highly compositional questions we use the dataset WEBQUESTIONSSP, which contains 4,737 questions paired with SPARQL queries for Freebase."
897,World knowledge,"To generate highly compositional questions we use the dataset WEBQUESTIONSSP, which contains 4,737 questions paired with SPARQL queries for Freebase.","To generate complex questions we use the dataset WEBQUESTIONSSP, which contains 4,737 questions paired with SPARQL queries for Freebase."
898,World knowledge,"In this paper, we explore the idea of polyglot semantic translation, or learning semantic parsing models that are trained on multiple datasets and natural languages.","In this paper, we explore the idea of learning semantic parsing models that are trained on multiple datasets and natural languages."
899,World knowledge,"In this paper, we explore the idea of learning semantic parsing models that are trained on multiple datasets and natural languages.","In this paper, we explore the idea of polyglot semantic translation, or learning semantic parsing models that are trained on multiple datasets and natural languages."
904,World knowledge,A distribution is then computed over these actions using a softmax function and particular actions are chosen accordingly during training and decoding.,Logits are then computed for these actions and particular actions are chosen according to a softmax over these logits during training and decoding.
905,World knowledge,Logits are then computed for these actions and particular actions are chosen according to a softmax over these logits during training and decoding.,A distribution is then computed over these actions using a softmax function and particular actions are chosen accordingly during training and decoding.
906,World knowledge,A distribution is then computed over these actions using a softmax function and particular actions are chosen accordingly during training and decoding.,A distribution is then computed over these actions using a maximum-entropy approach and particular actions are chosen accordingly during training and decoding.
907,World knowledge,A distribution is then computed over these actions using a maximum-entropy approach and particular actions are chosen accordingly during training and decoding.,A distribution is then computed over these actions using a softmax function and particular actions are chosen accordingly during training and decoding.
914,World knowledge,"Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn.","Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one-shot learning is sufficient."
915,World knowledge,"Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one-shot learning is sufficient.","Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn."
918,World knowledge,"We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end NLG.","We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end natural language generation."
919,World knowledge,"We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end natural language generation.","We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end NLG."
920,World knowledge,"We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end NLG.","We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end natural language parsing."
921,World knowledge,"We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end natural language parsing.","We investigate a wide range of metrics, including state-of-the-art word-based and novel grammar-based ones, and demonstrate that they only weakly reflect human judgements of system outputs as generated by data-driven, end-to-end NLG."
928,World knowledge,"Our experiments indicate that neural systems are quite good at producing fluent outputs and generally score well on standard word-match metrics, but perform quite poorly at content selection and at capturing long-term structure.","Our experiments indicate that neural systems are quite good at surface-level language modeling, but perform quite poorly at capturing higher level semantics and structure."
929,World knowledge,"Our experiments indicate that neural systems are quite good at surface-level language modeling, but perform quite poorly at capturing higher level semantics and structure.","Our experiments indicate that neural systems are quite good at producing fluent outputs and generally score well on standard word-match metrics, but perform quite poorly at content selection and at capturing long-term structure."
930,World knowledge,"Our experiments indicate that neural systems are quite good at producing fluent outputs and generally score well on standard word-match metrics, but perform quite poorly at content selection and at capturing long-term structure.",Our experiments indicate that neural systems are quite good at capturing higher level semantics and structure but perform quite poorly at surface-level language modeling.
931,World knowledge,Our experiments indicate that neural systems are quite good at capturing higher level semantics and structure but perform quite poorly at surface-level language modeling.,"Our experiments indicate that neural systems are quite good at producing fluent outputs and generally score well on standard word-match metrics, but perform quite poorly at content selection and at capturing long-term structure."
940,World knowledge,"Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of passing the Bechdel test.","Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of two named women characters talking about something besides men."
941,World knowledge,"Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of two named women characters talking about something besides men.","Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of passing the Bechdel test."
942,World knowledge,"Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of passing the Bechdel test.","Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of men in the narrative talking to each other about women."
943,World knowledge,"Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of men in the narrative talking to each other about women.","Similarly, the use of more agent-empowering verbs in female narratives decrease the odds of passing the Bechdel test."
960,World knowledge,The reaction was strongly exothermic.,The reaction media got very hot.
961,World knowledge,The reaction media got very hot.,The reaction was strongly exothermic.
962,World knowledge,The reaction was strongly exothermic.,The reaction media got very cold.
963,World knowledge,The reaction media got very cold.,The reaction was strongly exothermic.
964,World knowledge,The reaction was strongly endothermic.,The reaction media got very hot.
965,World knowledge,The reaction media got very hot.,The reaction was strongly endothermic.
966,World knowledge,The reaction was strongly endothermic.,The reaction media got very cold.
967,World knowledge,The reaction media got very cold.,The reaction was strongly endothermic.
1022,World knowledge,"It being his first night in the US, he eagerly got a drink at the bar after showing his ID.",He is over 20 years of age.
1023,World knowledge,He is over 20 years of age.,"It being his first night in the US, he eagerly got a drink at the bar after showing his ID."
1024,World knowledge,"It being his first night in the US, he eagerly got a drink at the bar after showing his ID.",He is under 21 years of age.
1025,World knowledge,He is under 21 years of age.,"It being his first night in the US, he eagerly got a drink at the bar after showing his ID."
1026,World knowledge,"It being his first night in the US, he eagerly got a drink at the bar after showing his ID.",He has a beard.
1027,World knowledge,He has a beard.,"It being his first night in the US, he eagerly got a drink at the bar after showing his ID."
1068,World knowledge,There are some amazing hikes around Mt. Fuji.,There are some amazing hikes in Japan.
1069,World knowledge,There are some amazing hikes in Japan.,There are some amazing hikes around Mt. Fuji.
1070,World knowledge,There are some amazing hikes around Mt. Fuji.,There are some amazing hikes in Nepal.
1071,World knowledge,There are some amazing hikes in Nepal.,There are some amazing hikes around Mt. Fuji.
1092,World knowledge,He's the kind of Jew who eats bagels with lox every morning during Passover.,He's the kind of Jew who doesn't adhere to all of the rules.
1093,World knowledge,He's the kind of Jew who doesn't adhere to all of the rules.,He's the kind of Jew who eats bagels with lox every morning during Passover.
1094,World knowledge,He's the kind of Jew who eats bagels with lox every morning during Passover.,He's the kind of Jew who rejects every facet of Jewish identity and culture.
1095,World knowledge,He's the kind of Jew who rejects every facet of Jewish identity and culture.,He's the kind of Jew who eats bagels with lox every morning during Passover.
1096,World knowledge,He's the kind of Jew who eats bagels with lox every morning during Passover.,He's the kind of Jew who avoids switching the lights during Shabbat.
1097,World knowledge,He's the kind of Jew who avoids switching the lights during Shabbat.,He's the kind of Jew who eats bagels with lox every morning during Passover.
